publication,author,date,year,month,day,reason,state_arc
"The New Sex Bible, The New Guide to Sexual Love",,2021-07-29 00:00:00,2021,7.0,29,Obscene material,ca
The New Works & Vision of Dorian Cleavenger,,2021-10-21 00:00:00,2021,10.0,21,frontal nudity,ca
THE NIGHT STALKER,,,,,,Sexual/Security,ca
The Night Stalker,,2020-04-14 00:00:00,2020,4.0,14,"conduct, forceful, threathing or violent",ca
THE NINJA AND THEIR SECRET FIGHTING ART,,2019-07-31 00:00:00,2019,7.0,31,Safety and Secrity,ca
THE NINJA DEFENSE,,2017-03-24 00:00:00,2017,3.0,24,Safety and Security,ca
THE NONSTOP BOOK OF FANTASTIKA TATTOO DESIGNS,,2017-06-20 00:00:00,2017,6.0,20,"1,2 Obscene Material",ca
"The North Hollywood Shootout, Violent Crimes Book 1",,2021-12-23 00:00:00,2021,12.0,23,"Forceful, threathing, violent",ca
THE NUDE FEMALE FIGURE: A VISUAL REFERENCE FOR THE ARTIST,,,,,,Nudity,ca
The Occult Roots of Nazism,,2020-04-16 00:00:00,2020,4.0,16,inciting violence,ca
The Official C.I.A. Manual of Trickery and Deception,,2020-11-02 00:00:00,2020,11.0,2,Contraband,ca
THE OFFICIAL HIGH TIMES POT SMOKER'S ACTIVITY BOOK,,2017-10-12 00:00:00,2017,10.0,12,Safety and Security,ca
"The Official Supernatural Coloring Book, Monsters Demons, and Spirits",,2020-10-08 00:00:00,2020,10.0,8,"Forceful, threathing, violent",ca
The Official U.S. Army Ranger Handbook,,2021-12-23 00:00:00,2021,12.0,23,safety and security,ca
The One I've Wanted For,,2020-09-10 00:00:00,2020,9.0,10,Contraband,ca
THE OTHER HOLLYWOOD: THE UNCENSORED ORAL HISTORY OF THE PORN INDUSTRY,,,,,,Nudity,ca
THE OTHER PLACE,,2015-12-21 00:00:00,2015,12.0,21,Nudity,ca
THE OUTMATE,,2016-05-11 00:00:00,2016,5.0,11,Non consensual Sex,ca
"The Paper Trip 4, The Ultimate Guide of New Identity Since 9 11",,2020-11-02 00:00:00,2020,11.0,2,safety and security,ca
THE PELAEZ GALLERY TEMPTATIONS,,2017-02-09 00:00:00,2017,2.0,9,Nudity,ca
The Power of the Dog,,2020-11-02 00:00:00,2020,11.0,2,"conduct, forceful, threathing or violent",ca
The Prada Plan,,2021-10-21 00:00:00,2021,10.0,21,obscene material,ca
"THE PRADO MUSEUM, MADRID",,2016-06-01 00:00:00,2016,6.0,1,Nudity,ca
THE PREGNANCY BIBLE,,2019-07-29 00:00:00,2019,7.0,29,Nudity,ca
"THE PSILOCYBIN, MUSHROOM BIBLE",,2018-01-04 00:00:00,2018,1.0,4,How to Manufacture Controlled Substances,ca
THE PSYCHOLOGICAL COVERT WAR ON HIP HOP,,2016-02-08 00:00:00,2016,2.0,8,Nudity,ca
The Punished,,2020-04-05 00:00:00,2020,4.0,5,"conduct, forceful, threathing or violent",ca
"The Pussy Trap 2, The Kiss of Death",,2020-11-02 00:00:00,2020,11.0,2,"conduct, forceful, threathing or violent",ca
"The Pussy Trap 3, Death",,2020-11-02 00:00:00,2020,11.0,2,"conduct, forceful, threathing or violent",ca
"The Pussy Trap 4, The Shadow of Death",,2020-11-02 00:00:00,2020,11.0,2,"conduct, forceful, threathing or violent",ca
"The Rape of Nanking, The Forgotten Holocaust of World War II,",,2021-12-23 00:00:00,2021,12.0,23,"Forceful, threathing, violent",ca
The Ring of The Nibelung,,2020-11-02 00:00:00,2020,11.0,2,Contraband,ca
"THE SANDMAN, OVERTURE",,2017-03-02 00:00:00,2017,3.0,2,Nudity,ca
THE SECRET ART OF PRESSURE POINT FIGHTING,,,,,,Security,ca
THE SECRET LANGUAGE OF BIRTHDAYS,,2018-08-02 00:00:00,2018,8.0,2,Obscene material,ca
THE SECRET LIFE OF A SATANIST: THE AUTHORIZED BIOGRAPHY OF ANTON LaVEY,,,,,,Nudity,ca
THE SERIAL KILLER WHISPERER,,,,,,Nudity,ca
THE SEX GUIDE FOR THE MODERN MAN: ROCK HER WORLD,,,,,,Nudity,ca
THE SEXUAL PERSPECTIVE,,2016-03-24 00:00:00,2016,3.0,24,Nudity,ca
The Sexy Librarian's Big Book of Erotica,,2021-05-21 00:00:00,2021,5.0,21,Contraband,ca
The Shot Caller,,2020-09-03 00:00:00,2020,9.0,3,inciting violence,ca
THE SOCIAL ORDER OF THE UNDERWORLD: HOW PRISON GANGS GOVERN THE AMERICAN PENAL SYSTEM,,2016-03-16 00:00:00,2016,3.0,16,Security,ca
The Streets Bleed Murder,,2020-08-12 00:00:00,2020,8.0,12,Obscene material,ca
The Streets Bleed Murder 2,,2020-08-12 00:00:00,2020,8.0,12,"conduct, forceful, threathing or violent",ca
The Streets Bleed Murder 3,,2020-08-12 00:00:00,2020,8.0,12,Obscene material,ca
The Streets Have No King,,2020-07-23 00:00:00,2020,7.0,23,"conduct, forceful, threathing or violent",ca
"The Streets Have No King, by JaQuavis Coleman",,2020-07-30 00:00:00,2020,7.0,30,Contraband,ca
THE TAO OF GUNG FU,,2017-05-31 00:00:00,2017,5.0,31,Safety and Security,ca
THE TAO OF HEALTH,,2017-05-19 00:00:00,2017,5.0,19,Nudity,ca
THE TAO OF SEDUCTION,,,,,,Nudity,ca
THE TAO OF WING CHUN,,2018-07-18 00:00:00,2018,7.0,18,"1,2 Safety and Security",ca
THE TATTOO SOURCEBOOK,,2017-09-18 00:00:00,2017,9.0,18,Nudity,ca
The Teflon Queen,,2020-09-10 00:00:00,2020,9.0,10,obscene material,ca
The Teflon Queen Vol 2,,2020-09-10 00:00:00,2020,9.0,10,obscene material,ca
The Teflon Queen Vol 3,,2020-09-10 00:00:00,2020,9.0,10,obscene material,ca
THE TOTAL POKER MANUAL,,2018-08-01 00:00:00,2018,8.0,1,Gambling,ca
THE U.S. NAVY SEAL SURVIVAL HANDBOOK: LEARN THE SURVIVOR TECHNIQUES OFAMERICA'S ELITE WARRIORS,,,,,,Security,ca
The Ultimate Adult Only Joke Book,,2021-12-23 00:00:00,2021,12.0,23,frontal nudity,ca
THE ULTIMATE COLLECTION,,,,,,Nudity,ca
"THE ULTIMATE GUIDE TO CUNNILINGUS, 2ND EDITION",,2017-07-03 00:00:00,2017,7.0,3,Obscene material,ca
THE ULTIMATE GUIDE TO PROSTRATE PLEASURE,,2015-10-28 00:00:00,2015,10.0,28,Nudity,ca
The Ultimate Guide to Tarot,,2020-09-03 00:00:00,2020,9.0,3,nudity,ca
"THE ULTIMATE GUIDE TO U.S. ARMY SURVIVAL SKILLS, TACTICS AND TECHNIQUES",,,,,,Security,ca
"THE ULTIMATE HANDBOOK FOR THE DOM AND SUB, TRAINING FOR PLEASURE",,2018-08-02 00:00:00,2018,8.0,2,"1,2 Obscene Material",ca
THE ULTIMATE ILLUSTRATIONS,,,,,,Nudity,ca
The Ultimate Pardon,,2020-06-15 00:00:00,2020,6.0,15,"conduct, forceful, threathing or violent",ca
THE ULTIMATE SURVIVAL MANUAL,,2016-03-29 00:00:00,2016,3.0,29,Security,ca
The White House,,2021-06-25 00:00:00,2021,6.0,25,Obscene material,ca
"THE WHITE HOUSE BOYS, AN AMERICAN TRAGEDY",,2016-10-20 00:00:00,2016,10.0,20,Violence,ca
The White Man's Bible,,2021-08-27 00:00:00,2021,8.0,27,Violence,ca
The Wild World of Betty Page,,2020-11-02 00:00:00,2020,11.0,2,obscene material,ca
"THE WITCHER, HOUSE OF GLASS",,2019-09-30 00:00:00,2019,9.0,30,Obscene material,ca
The Witches Goddess,,2020-07-23 00:00:00,2020,7.0,23,nudity,ca
The Women of Ink,,2021-12-23 00:00:00,2021,12.0,23,frontal nudity,ca
THE WONDER DOWN UNDER,,2019-09-09 00:00:00,2019,9.0,9,Nudity,ca
THE WORLD ATLAS OF TATTOO,,2016-05-11 00:00:00,2016,5.0,11,Nudity,ca
THE WORLD OF JACK L. MORRIS,,,,,,Nudity,ca
The Wrath of Face,,2020-04-07 00:00:00,2020,4.0,7,Contraband,ca
"THE WRITINGS OF AUSTIN OSMAN SPARE: ANATHEMA OF ZOS, THE BOOK OF PLEASURE, AND THE FOCUS OF LIFE",,2015-10-29 00:00:00,2015,10.0,29,Nudity,ca
"THE ZOMBIE SURVIVAL GUIDE, COMPLETE PROTECTION FOR THE LIVING DEAD",,2016-07-26 00:00:00,2016,7.0,26,"1,2 Safety and Security Concerns",ca
THESE WERE MY REALITIES,,,,,,Nudity,ca
"THING EXPLAINER, COMPLICATED STUFF IN SIMPLE WORDS",,2018-10-01 00:00:00,2018,10.0,1,"1,2 Safety and Security",ca
"THIS BOOK WILL CHANGE YOUR LIFE, 365 DAILY INSTRUCTIONS FOR HYSTERICAL LIVING",,2016-10-20 00:00:00,2016,10.0,20,"1,2 Obscene Material",ca
THIS SIDE OF PARADISE: BODY AND LANDSCAPE IN LOS ANGELES PHOTOGRAPHS,,,,,,Nudity,ca
THREESOMES,,,,,,Nudity,ca
Threesomes and Moresomes,,2021-10-21 00:00:00,2021,10.0,21,obscene material,ca
"Throat Baby, A Slutty Love Affair",,2021-06-25 00:00:00,2021,6.0,25,Obscene material,ca
THROUGH A FAERY STONE,,,,,,Nudity,ca
"THROUGH A GLASS DARKLY, PICTURES OF MYSELF AND OTHERS",,,,,,Nudity,ca
Thugs Cry,,2020-10-21 00:00:00,2020,10.0,21,"conduct, forceful, threathing or violent",ca
"Thugs Cry 3, Respect My Gangsta",,2020-10-21 00:00:00,2020,10.0,21,"conduct, forceful, threathing or violent",ca
TICKLE HIS PICKLE,,2019-10-15 00:00:00,2019,10.0,15,Nudity,ca
"TIT FOR TWAT, LIZ & BETH, VOLUME III",,2016-07-26 00:00:00,2016,7.0,26,Nudity,ca
TITAN,,2016-03-21 00:00:00,2016,3.0,21,Nudity,ca
TO BE A U.S. ARMY GREEN BERET,,2016-03-25 00:00:00,2016,3.0,25,Security,ca
TOKYO ZOMBIE,,2018-07-20 00:00:00,2018,7.0,20,Obscene material,ca
"TOM BBROWN'S FIELD GUIDE, WILDERNESS SURVIVAL",,2019-05-24 00:00:00,2019,5.0,24,Safety and Security,ca
Tony Story,,2020-06-09 00:00:00,2020,6.0,9,obscene material,ca
TOP BIKINI PICTURES,,2018-10-01 00:00:00,2018,10.0,1,Nudity,ca
"Torture Princess, Fremd Torturchen",,2020-01-29 00:00:00,2020,1.0,29,Contraband,ca
Train Lika A Fighter,,2021-12-23 00:00:00,2021,12.0,23,Violence,ca
"TRAINING FOR SUDDEN VIOLENCE, 72 PRACTICAL DRILLS",,2017-06-20 00:00:00,2017,6.0,20,"1,2 Obscene Material",ca
Training for Warriors,,2021-07-15 00:00:00,2021,7.0,15,Security,ca
"TRANS BODIES, TRANS SELVES, A RESOURCE FOR THE TRANSGENDER COMMUNITY",,2018-04-16 00:00:00,2018,4.0,16,Obscene material,ca
Transients and Other Disquieting Stories,,2020-02-25 00:00:00,2020,2.0,25,nudity,ca
"Traphouse King 2, Levels to the Game",,2020-07-23 00:00:00,2020,7.0,23,"conduct, forceful, threathing or violent",ca
"Traphouse King 3, There Can Only Be One",,2020-07-23 00:00:00,2020,7.0,23,"conduct, forceful, threathing or violent",ca
"Traphouse King, Hungry for the Paper, by Hood Rich",,2020-07-30 00:00:00,2020,7.0,30,"conduct, forceful, threathing or violent",ca
TRIAGE X #1,,,,,,Nudity,ca
TRIGUN: MULTIPLE BULLETS,,2015-08-07 00:00:00,2015,8.0,7,Nudity,ca
"True Crime Case Histories, Volume 1-3",,2021-08-20 00:00:00,2021,8.0,20,"Forceful, threathing, violent",ca
"True Crime Stories, Vol 2",,2020-03-30 00:00:00,2020,3.0,30,"conduct, forceful, threathing or violent",ca
"True Crime Stories, Vol 3",,2020-03-30 00:00:00,2020,3.0,30,"conduct, forceful, threathing or violent",ca
Trust No Bitch,,2020-10-08 00:00:00,2020,10.0,8,"Forceful, threathing, violent",ca
Trust No Bitch,,2020-09-10 00:00:00,2020,9.0,10,Obscene Material,ca
Trust No Bitch II,,2020-09-03 00:00:00,2020,9.0,3,obscene material,ca
Trust No Bitch III,,2021-07-14 00:00:00,2021,7.0,14,Obscene material,ca
"Trust No Man 3, Like Father Like Son",,2020-05-28 00:00:00,2020,5.0,28,"Forceful, threathing, violent",ca
Two Knotty Boys Showing you the Ropes,,2020-04-05 00:00:00,2020,4.0,5,safety and security,ca
"Two-Faced Russian Monster, The True Story of Andrei Chikatilo",,2021-06-25 00:00:00,2021,6.0,25,"Forceful, threathing, violent",ca
U.S. AIRFORCE SURVIVAL HANDBOOK,,,,,,Security,ca
U.S. ARMY COUNTERINTELLIGENCE HANDBOOK,,,,,,Security,ca
U.S. ARMY HAND-TO-HAND-COMBAT,,,,,,SECURITY,ca
U.S. ARMY SPECIAL FORCES GUIDE TO UNCONCONVENTIAL WARFARE: DEVICES AND TECHNIQUES FOR INCENDIARIES,,,,,,Security,ca
"U.S. Army Special Forces Handbook, by Department of the Army",,2021-12-23 00:00:00,2021,12.0,23,safety and security,ca
U.S. Army Survival Manual FM 21-76,,2020-07-10 00:00:00,2020,7.0,10,safety and security,ca
"U.S. ARMY SURVIVAL MANUAL, DEPARTMENT OF THE ARMY",,2017-04-27 00:00:00,2017,4.0,27,Safety,ca
U.S. MARINE CLOSE COMBAT FIGHTING HANDBOOK,,,,,,Security,ca
U.S. MARINE COMBAT CONDITIONING,,,,,,Security,ca
"ULTIMATE FIGHTING TECHNIQUES, VOLUME 1, THE TOP GAME",,2018-01-29 00:00:00,2018,1.0,29,Safety,ca
ULTIMATE GUIDE TO TAI CHI THE BEST OF INSIDE KUNG-FU,,,,,,Security,ca
"ULTIMATE VISUAL DICTIONARY, JANUARY 17, 2017",,2017-09-18 00:00:00,2017,9.0,18,Nudity,ca
ULTIMATE WARRIOR WORKOUTS,,,,,,Security,ca
Ultimate Warrior Workouts,,2021-07-15 00:00:00,2021,7.0,15,Security,ca
"UNBELIEVABLE: THE LIFE, DEATH, AND AFTERLIFE OF THE NOTORIOUS B.I.G",,,,,,Security,ca
"UNDERSTANDING THE ASSAULT ON THE BLACK MAN, BLACK MANHOOD, AND BLACK MASCULINITY",,2018-08-02 00:00:00,2018,8.0,2,Sexual Misconduct,ca
UNDERWAY IS THE ONLY WAY BY GRIME AND HORITAKA,,2018-02-08 00:00:00,2018,2.0,8,Nudity,ca
UNE SEMAINE DE BONTE,,2016-03-11 00:00:00,2016,3.0,11,"1,2 Nudity",ca
Uprising: Crips and Bloods Tell the Story of America's Youth in the Crossfire,,2020-02-14 00:00:00,2020,2.0,14,STG,ca
URBAN ART: THE WORLD AS A CANVAS,,2016-01-26 00:00:00,2016,1.0,26,Nudity,ca
Urban Tantra Sacred Sex for the Twenty First Century. 2nd Edition,,2020-08-31 00:00:00,2020,8.0,31,sexually explicit,ca
US ARMY RANGER HANDBOOK,,2015-11-13 00:00:00,2015,11.0,13,"1, 2 Contraband evident",ca
Use Music To Kill,,2021-09-09 00:00:00,2021,9.0,9,frontal nudity,ca
V FOR VENDETTA,,2018-06-12 00:00:00,2018,6.0,12,Nudity,ca
"VAGABOND, VOLUME 5",,2019-11-27 00:00:00,2019,11.0,27,obscene material,ca
"VAGABOND, VOLUME 6",,2019-11-27 00:00:00,2019,11.0,27,obscene material,ca
"VAGABOND, VOLUME 7",,2019-10-28 00:00:00,2019,10.0,28,Nudity,ca
VAMPIRE DANCE,,,,,,Nudity,ca
"Vice, News, Nudity and Nonsense",,2021-09-09 00:00:00,2021,9.0,9,frontal nudity,ca
VICTORY OR VALHALLA,,2016-03-29 00:00:00,2016,3.0,29,Under Age/Sexual,ca
"Viking Uprising, Volume 2",,2020-02-20 00:00:00,2020,2.0,20,inciting violence,ca
VILLAINOUS VIXENS PRESENTS: LASSNITE,,,,,,Nudity,ca
"Vintage Tattoo, The Book of Old-School Skin Art",,2020-12-01 00:00:00,2020,12.0,1,sexually explicit,ca
Virtual Reality,,2021-07-29 00:00:00,2021,7.0,29,Obscene material,ca
Vogue Essentials Lingerie,,2021-07-22 00:00:00,2021,7.0,22,Nudity,ca
Waking with Enemies,,2021-10-21 00:00:00,2021,10.0,21,obscene material,ca
"War Against All Puerto Ricans, Revolution and Terror in America's Colony",,2020-12-01 00:00:00,2020,12.0,1,"conduct, forceful, threathing or violent",ca
WAR WITH EMPTY HANDS,,2016-02-05 00:00:00,2016,2.0,5,Safety,ca
WARRIOR CARDIO,,2015-08-25 00:00:00,2015,8.0,25,Security,ca
Watchman,,2021-05-13 00:00:00,2021,5.0,13,"Forceful, threathing, violent",ca
Water for Elephant's,,2020-03-11 00:00:00,2020,3.0,11,nudity,ca
WAYS OF SEEING,,2017-07-21 00:00:00,2017,7.0,21,Obscene material,ca
WEIRDO DELUXE,,2015-05-12 00:00:00,2015,5.0,12,Nudity,ca
Welcome to Tokoharu Apartments,,2021-02-25 00:00:00,2021,2.0,25,nudity,ca
Welfare Wifeys,,2021-06-25 00:00:00,2021,6.0,25,Obscene material,ca
"WET, MORE AQUA EROTICA",,2017-06-20 00:00:00,2017,6.0,20,"1,2 Obscene Material",ca
WHAT KNOT,,2019-05-22 00:00:00,2019,5.0,22,Safety and Security,ca
WHEN SATAN WORE A CROSS,,2017-02-09 00:00:00,2017,2.0,9,Nudity,ca
When Violence is The Answer,,2021-07-29 00:00:00,2021,7.0,29,Security,ca
WHITE CLOUD WORLDS,,,,,,Nudity,ca
"White Man's Justice, Black Man's Grief",,2020-12-15 00:00:00,2020,12.0,15,"conduct, forceful, threathing or violent",ca
WHO ARE YOU: 100 WAYS OF SEEING YOURSELF,,2016-02-25 00:00:00,2016,2.0,25,Nudity,ca
WHO'S BEEN SLEEPING IN YOUR HEAD: THE SECRET WORLD OF SEXUAL FANTASIES,,,,,,Sexual/Security,ca
WICKED KISSES,,,,,,Nudity,ca
Wicked Quickies,,2021-10-21 00:00:00,2021,10.0,21,obscene material,ca
Wild Nights,,2021-09-23 00:00:00,2021,9.0,23,Obscene material,ca
"WILD SKETCHES, VOLUME 1",,2015-08-12 00:00:00,2015,8.0,12,NUDITY,ca
"WILD SKETCHES, VOLUME 2",,2015-08-06 00:00:00,2015,8.0,6,Nudity,ca
WING CHUN LUNG FU: TRADITIONAL CHINESE KUNG FU FOR SELF- DEFENCE AND HEALTH,,,,,,Security,ca
WITCHES & WICKED BODIES,,2015-06-16 00:00:00,2015,6.0,16,Security,ca
WITCHE'S CRAFT,,2019-12-24 00:00:00,2019,12.0,24,nudity,ca
"WITH THE LIGHT OF TRUTH, STRAIGHT EDGE",,2019-02-22 00:00:00,2019,2.0,22,Nudity,ca
Without Pity,,2020-09-24 00:00:00,2020,9.0,24,"Forceful, threathing, violent",ca
Womanizer,,2021-04-15 00:00:00,2021,4.0,15,Obscene material,ca
WOMEN ON TOP,,,,,,Sexual/Security,ca
"WORLD WAR, TANK GIRL",,2018-01-25 00:00:00,2018,1.0,25,Nudity,ca
"World's End Harem, Volume 1",,2022-01-14 00:00:00,2022,1.0,14,frontal nudity,ca
Wrath,,2020-08-19 00:00:00,2020,8.0,19,"Forceful, threathing, violent",ca
Writing My Wrongs,,2020-10-08 00:00:00,2020,10.0,8,"Forceful, threathing, violent",ca
"Yokai Girls, Volume 3",,2021-02-11 00:00:00,2021,2.0,11,nudity,ca
YOUR CHILD'S DEVELOPMENT FROM BIRTH TO ADOLESCENCE,,2015-05-14 00:00:00,2015,5.0,14,Nudity,ca
Zane's Sex Chronicles,,2020-07-10 00:00:00,2020,7.0,10,obscene material,ca
"ZEROZEROZERO, LOOK AT COCAINE AND ALL YOU SEE IN POWDER, LOOK THROUGH COCAINE AND YOU SEE THE WORLD",,2017-05-11 00:00:00,2017,5.0,11,safety and security,ca
#Prison Kill (Newsletter),,,,,,,nj
101 Things to Do With Mac and Cheese ,,,,,,,nj
33 Strategies of War,,,,,,,nj
4 Liferz,,,,,,,nj
48 Laws of Power,,,,,,,nj
Absolute Green Lantern ,,,,,,,nj
Absolutely Everything WWE ,,,,,,,nj
Advanced Persistent Threat Hacking (added 9/21/2021),,,,,,,nj
Advanced Survival,,,,,,,nj
All Natural Beauties,,,,,,,nj
American Gods,,,,,,,nj
American Massacre ,,,,,,,nj
American Sovereignty Information Packet,,,,,,,nj
American Swing,,,,,,,nj
Anarchism And The Black Revolution,,,,,,,nj
Angels of Death,,,,,,,nj
An Updated History Of The New Afrikan Prison Struggle,,,,,,,nj
Armchair Chemistry,,,,,,,nj
Astrosex,,,,,,,nj
Assata,,,,,,,nj
Basic Wiring,,,,,,,nj
Bedtime Fantasies,,,,,,,nj
Better Sex In No Time,,,,,,,nj
Big Bad Book Of Botany,,,,,,,nj
Big Black Stand At Attica,,,,,,,nj
Big Brother Technology,,,,,,,nj
Black Mystique,,,,,,,nj
Block Party 5K1 – Diplomatic Immunity,,,,,,,nj
Bloods and Crips: The Genesis of a Genocide,,,,,,,nj
"Blue Rage, Black Redemption",,,,,,,nj
Body Language,,,,,,,nj
Book of Glock,,,,,,,nj
Bountiful Bonsai,,,,,,,nj
Bublishi,,,,,,,nj
Bucklands Complete Book Of Witchcraft,,,,,,,nj
Bundy Portrait- Portrait of a Serial Killer,,,,,,,nj
Cellprenuer,,,,,,,nj
Clitoral Truth,,,,,,,nj
Cocaine Nation,,,,,,,nj
Comic Artist,,,,,,,nj
Commissary Kitchen: My Infamous Prison Cookbook,,,,,,,nj
Corruption Officer,,,,,,,nj
Culture in Revolution,,,,,,,nj
Cum For Me ,,,,,,,nj
Daddy Cool,,,,,,,nj
Daddy Long Stroke,,,,,,,nj
DC Comics Encyclopedia ,,,,,,,nj
Death 2 Authority,,,,,,,nj
Diary of a Sex Fiend,,,,,,,nj
Dirty Girl Collection,,,,,,,nj
Do It Yourself 12v Solar,,,,,,,nj
Double Cross-Inside Story of Mobster Who Controlled America,,,,,,,nj
Drug Lord,,,,,,,nj
Dynamic Strength,,,,,,,nj
Ecstasy: The Complete Guide,,,,,,,nj
Essential Book Of Martial Arts Kicks,,,,,,,nj
Everything Your Lover Will Burn,,,,,,,nj
Felony Fitness,,,,,,,nj
Fentanyl Inc.,,,,,,,nj
Fetishes: Sexy Wives,,,,,,,nj
"Find Out Anything About Anyone, Anytime",,,,,,,nj
Finding Love Through Female Domination,,,,,,,nj
Forbidden Knowledge,,,,,,,nj
From Chocolate to Morphine,,,,,,,nj
From Niggas to Gods ,,,,,,,nj
From The Prison of Slavery to the Slavery of Prison,,,,,,,nj
Get The Truth,,,,,,,nj
Great Prison Escapes,,,,,,,nj
Guerrilla Warfare,,,,,,,nj
Guide To Getting Unzipped,,,,,,,nj
Guilty by Association,,,,,,,nj
Hardcore Fitness,,,,,,,nj
Heaven and Earth,,,,,,,nj
Hells Angels,,,,,,,nj
Helter Skelter,,,,,,,nj
Heteropatriarchy and the 3 Pillars of White Supremacy,,,,,,,nj
Hide Your Assets and Disappear,,,,,,,nj
Homeland Siege,,,,,,,nj
Home Repair ,,,,,,,nj
House of Decadence,,,,,,,nj
How To Find Out Anything,,,,,,,nj
How To F*ck a Woman,,,,,,,nj
How to Grow Marijuana for Business,,,,,,,nj
How to Hustle and Win,,,,,,,nj
How to Hustle and Win 2,,,,,,,nj
Human Sacrifice,,,,,,,nj
I am Raymond Washington,,,,,,,nj
Improvising on Reality: The Roots of Prison Abolition,,,,,,,nj
Inabsentia,,,,,,,nj
Inmate Shopper Catalog,,,,,,,nj
Intro to Investigation and Law Enforcement,,,,,,,nj
Jailhouse Strong,,,,,,,nj
Knowledge of Self,,,,,,,nj
Krav Maga – Tactical Survival,,,,,,,nj
Last Lama Warrior,,,,,,,nj
Letters To Penthouse – Sinful Sexploits,,,,,,,nj
Liberatore Le Donna,,,,,,,nj
Life in Prison,,,,,,,nj
Living Off The Grid,,,,,,,nj
Lo-Life,,,,,,,nj
Los Senores Del Narco,,,,,,,nj
Lost Art Of War,,,,,,,nj
Loving the G-Spot,,,,,,,nj
Lust to Kill,,,,,,,nj
Make Electronics,,,,,,,nj
Make Women Want You,,,,,,,nj
Malcolm X – Revolutionary The Ballot or the Bullet,,,,,,,nj
Marijuana Horticulture,,,,,,,nj
Marijuana Venture,,,,,,,nj
Marine Knots,,,,,,,nj
Marvel Encyclopedia OVERWEIGHT,,,,,,,nj
Mechanical Engineering For Makers,,,,,,,nj
Message to the Blackman in America,,,,,,,nj
Mind Control,,,,,,,nj
Mind Fist,,,,,,,nj
Mind Manipulation,,,,,,,nj
Mind Power,,,,,,,nj
Monster – Autobiography of a LA Gang Member,,,,,,,nj
More Dirty Girls Having Fun,,,,,,,nj
N*gger Theory,,,,,,,nj
Navy Seal Dogs,,,,,,,nj
Old School Boxing and Fitness,,,,,,,nj
Once Upon A Time in AmeriKKKa,,,,,,,nj
One Percenter Code,,,,,,,nj
One Percenter Encyclopedia,,,,,,,nj
Oral Sex For Everybody,,,,,,,nj
Oral Sex Position Guide,,,,,,,nj
Original Gangster,,,,,,,nj
Pantee Publishing Catalog,,,,,,,nj
Parasite Doctor Suzune,,,,,,,nj
Penthouse Uncensored VII: Erotica Unbound,,,,,,,nj
Philly Daze (Newsletter),,,,,,,nj
PIHKAL,,,,,,,nj
Pill City,,,,,,,nj
Plants That Can Kill,,,,,,,nj
Pocket Ref,,,,,,,nj
Political Prisoners – Prisons and Black liberation,,,,,,,nj
Position Sex Bible,,,,,,,nj
Prepper’s Home Defense,,,,,,,nj
Prison Ramen,,,,,,,nj
Private Nudes,,,,,,,nj
Projects to Get You Off the Grid,,,,,,,nj
Projectile Science,,,,,,,nj
Rap Race Revolution,,,,,,,nj
Raspberry Pi Projects,,,,,,,nj
Rayful Edmund,,,,,,,nj
Real Solidarity Requires Action,,,,,,,nj
Reckless – A Short Story,,,,,,,nj
Revolutionary Suicide,,,,,,,nj
Ritual Spells of Santeria,,,,,,,nj
Rules Of The Game,,,,,,,nj
Running With The Devil – ATF Infiltration of the Hells Angels,,,,,,,nj
Santa Muerta,,,,,,,nj
SAS Survival Handbook,,,,,,,nj
Serial Killers and Psychopaths,,,,,,,nj
Sex Money Murder,,,,,,,nj
Sexual Fitness,,,,,,,nj
She Comes First,,,,,,,nj
Sheep No More,,,,,,,nj
Sh*t Hits The Fan Survival Guide,,,,,,,nj
Sneaky Uses For Everyday Things,,,,,,,nj
Solar Panels- Install Your Own,,,,,,,nj
Soldier Of Fortune - How to Disappear and Never Be Found,,,,,,,nj
Solidad Brother,,,,,,,nj
Spectacular Sex Moves She’ll Never Forget,,,,,,,nj
Spy Secrets That Can Save Your Life,,,,,,,nj
Starting Your Own Cannabis Business,,,,,,,nj
STFU – Nation of God and Earth,,,,,,,nj
"Still Black, Still Strong",,,,,,,nj
Street Legends ,,,,,,,nj
Super Nylon Parade,,,,,,,nj
Super System – A Course In Power Poker,,,,,,,nj
Supreme Lessons of God and Earth,,,,,,,nj
Surrender White People,,,,,,,nj
Surviving the Mob,,,,,,,nj
Tao Of Jeet Kun Do,,,,,,,nj
Teach Me 3,,,,,,,nj
Teach Yourself Electricity and Electronics,,,,,,,nj
Testimonies of Torture in New Jersey Prisons,,,,,,,nj
Thanos OVERSIZED,,,,,,,nj
The 120 Days of Sodom,,,,,,,nj
The Act of Human Chess,,,,,,,nj
The Almighty P Stone Nation,,,,,,,nj
The Art of Body Talk,,,,,,,nj
The Art of Deception,,,,,,,nj
The Art of Seduction,,,,,,,nj
The Art of Sensual Loving,,,,,,,nj
The Art Of Sexual Ecstacy,,,,,,,nj
The Art of War,,,,,,,nj
The Big Black Book Of Sex Positions,,,,,,,nj
The Black Hand,,,,,,,nj
The Complete Book of Five Rings,,,,,,,nj
"The Five Percenter – Islam, Hip-Hop, and the Gods of New York",,,,,,,nj
The Five Percenter (By: Master Allah Rule),,,,,,,nj
The Ghetto Bred Anarchist,,,,,,,nj
The Ice Man - Confessions of a Mafia Contract Killer,,,,,,,nj
