publication,author,date,year,month,day,reason,state_arc
2017 MASTER ELECTRICIAN EXAM & STUDY GUIDE. ,,2017-09-20 00:00:00,2017,9.0,20,,fl
2018 ROAD ATLAS USA CANDA MEXICO. ,,2018-02-13 00:00:00,2018,2.0,13,,fl
2018 WITCHES COMPANION. ,,2017-12-19 00:00:00,2017,12.0,19,,fl
2019 A YEAR IN REVIEW. 2020/07. ISSUE 11.,,2020-08-27 00:00:00,2020,8.0,27,,fl
2019 IWW GENERAL CONVENTION: CONVENTION ANNOUNCEMENTS AND RESOLUTIONS INSERT.,,2019-08-28 00:00:00,2019,8.0,28,,fl
2019 ROAD ATLAS: AMERICA'S #1 ROAD ATLAS. ,,2019-05-15 00:00:00,2019,5.0,15,,fl
2020 FANTASY FOOTBALL ALMANAC AND DRAFT GUIDE. ,,2020-08-13 00:00:00,2020,8.0,13,,fl
2020 PLANNER WEEKLY AND MONTHLY. ,,2020-03-24 00:00:00,2020,3.0,24,,fl
2020 ROAD ATLAS. ,,2019-12-04 00:00:00,2019,12.0,4,,fl
2020/2021 PUBLICATIONS AND ZINE DISTRIBUTOR CATALOG. ,,2021-06-17 00:00:00,2021,6.0,17,,fl
2021 ROAD ATLAS. ,,2020-09-24 00:00:00,2020,9.0,24,,fl
21ST CENTURY COMPLETE GUIDE TO ELECTROMAGNETIC PULSE (EMP). ,,2017-08-16 00:00:00,2017,8.0,16,,fl
"21st CENTURY SNIPER, A COMPLETE GUIDE: A COMPLETE PRACTICAL GUIDE. ",,2012-01-27 00:00:00,2012,1.0,27,,fl
23/7: PELICAN BAY PRISON AND THE RISE OF LONG-TERM SOLITARY CONFINEMENT. ,,2017-07-06 00:00:00,2017,7.0,6,,fl
"25,000 YEARS OF EROTIC FREEDOM. ",,2013-05-31 00:00:00,2013,5.0,31,,fl
2635 HOME HINTS AND TIMELESS TIPS. ,,2020-12-17 00:00:00,2020,12.0,17,,fl
3 KINGS. ,,2018-06-06 00:00:00,2018,6.0,6,,fl
30 ARDUINO PROJECTS FOR THE EVIL GENIUS. ,,2013-05-21 00:00:00,2013,5.0,21,,fl
30 YEARS AFTER THE CRACK COMMANDMENTS. ,,2020-07-13 00:00:00,2020,7.0,13,,fl
30 YEARS BEHIND PRISON WALLS. ,,2021-04-22 00:00:00,2021,4.0,22,,fl
30+40. 2014. NO. 73.,,2017-02-01 00:00:00,2017,2.0,1,,fl
300 INCREDIBLE THINGS TO DO ON THE INTERNET. ,,2018-04-19 00:00:00,2018,4.0,19,,fl
300 MORE CRYPTOGRAM PUZZLES. ,,2020-06-04 00:00:00,2020,6.0,4,,fl
300. ,,2012-04-20 00:00:00,2012,4.0,20,,fl
3462 HOW TO OUTWIT A JUDGE IN A COURT (AND CHARGE THEM A FEE EVERY TIME THEY ORDER YOU). ,,2018-08-09 00:00:00,2018,8.0,9,,fl
350 BEST SEX TIPS EVER. ,,2018-06-18 00:00:00,2018,6.0,18,,fl
36 DEADLY BUBISHI POINTS. ,,2019-06-19 00:00:00,2019,6.0,19,,fl
36 STRATEGIES OF THE MARTIAL ARTS. ,,2014-11-19 00:00:00,2014,11.0,19,,fl
365 DAYS OF CRYPTOGRAM PUZZLES: QUOTES FOR MINDFULNESS AND HAPPINESS. ,,2017-11-15 00:00:00,2017,11.0,15,,fl
365 PROMISES FROM GOD'S WORD IN COLOR. ,,2018-04-05 00:00:00,2018,4.0,5,,fl
365 SEX MOVES: POSITIONS FOR HAVE IN SEX A NEW WAY EVERY DAY. ,,2017-11-15 00:00:00,2017,11.0,15,,fl
"365 SEX POSITIONS: A NEW WAY EVERY DAY FOR A STEAMY, EROTIC YEAR. ",,2021-09-09 00:00:00,2021,9.0,9,,fl
"365 SEX THRILLS. POSITION, TRICKS AND TECHNIQUES FOR AN EROTIC YEAR. ",,2017-08-30 00:00:00,2017,8.0,30,,fl
3D ORIGAMI FUN. ,,2017-02-01 00:00:00,2017,2.0,1,,fl
3D PRINGING WITH AUTODESK 123 D TINKERCARD AND MAKETBOT. ,,2018-05-02 00:00:00,2018,5.0,2,,fl
3D PRINTING AND CNC FABRICATION WITH SKETCHUP. ,,2017-11-15 00:00:00,2017,11.0,15,,fl
3DD: A 3-D CELEBRATION OF BREASTS. ,,2012-03-01 00:00:00,2012,3.0,1,,fl
4 FRONT. ISSUE 23.,,2013-03-28 00:00:00,2013,3.0,28,,fl
4 FRONT. ISSUE 23. FREEWAY RICK ROSS COVER.,,2018-04-05 00:00:00,2018,4.0,5,,fl
40 CLASSIC TATTOO ALPHABETS. UPDATED. ,,2020-10-22 00:00:00,2020,10.0,22,,fl
40 PROJECTS FOR BUILDING YOUR BACKYARD HOMESTEAD. ,,2017-02-22 00:00:00,2017,2.0,22,,fl
40+. 2014. NO. 62.,,2017-02-22 00:00:00,2017,2.0,22,,fl
400 JAPANESE MOTIFS. ,,2018-01-24 00:00:00,2018,1.0,24,,fl
400 VARIETY BRAIN GAME PUZZLES. KOOKY PUZZLE LOVERS.,,2019-07-17 00:00:00,2019,7.0,17,,fl
4507 EARN CASH FROM SPORTS WAGERING REGARDLESS OF WHO WINS THE GAME. TOOLS FOR FREEDOM. # 4507.,,2016-02-08 00:00:00,2016,2.0,8,,fl
4521 HOW TO LEGALLY ROB ANY CASINO BLIND. POWERPLAY BACCARAT.  LEVEL. 1.,,2018-08-09 00:00:00,2018,8.0,9,,fl
475 TAX DEDUCTIONS FOR BUSINESSES AND SELF-EMPLOYED INDIVIDUALS. ,,2019-03-20 00:00:00,2019,3.0,20,,fl
48 LAWS OF BLACK EMPOWERMENT. ,,2020-11-19 00:00:00,2020,11.0,19,,fl
48 LAWS OF POWER. ,,2014-07-23 00:00:00,2014,7.0,23,,fl
4-HOUR CHEF. ,,2017-09-20 00:00:00,2017,9.0,20,,fl
4STRUGGLEMAG. 2011/SUMMER. NO. 19.,,2012-03-22 00:00:00,2012,3.0,22,,fl
4STRUGGLEMAG. 2012/FALL. NO. 21.,,2013-02-19 00:00:00,2013,2.0,19,,fl
4STRUGGLEMAG. 2013/SPRING. ISSUE 22.,,2013-07-17 00:00:00,2013,7.0,17,,fl
4STRUGGLEMAG. 2013/WINTER. ISSUE 23.,,2014-02-12 00:00:00,2014,2.0,12,,fl
4STRUGGLEMAG. 2014/SPRING. NO. 24.,,2016-08-17 00:00:00,2016,8.0,17,,fl
4STRUGGLEMAG. 2015/AUTUMN. NO. 25.,,2016-08-03 00:00:00,2016,8.0,3,,fl
5 VERY GOOD REASONS TO PUNCH A DOLPHIN N THE MOUTH (AND OTHER USEFUL GUIDES). ,,2017-06-21 00:00:00,2017,6.0,21,,fl
50 NIFTY ORIGAMI CRAFTS. ,,2018-07-25 00:00:00,2018,7.0,25,,fl
50 NIGHTS IN GRAY: A SENSUAL JOURNEY IN BLACK AND WHITE. ,,2015-03-25 00:00:00,2015,3.0,25,,fl
50 SHADES OF BONDAGE & DISCIPLINE: A BEGINNER'S GUIDE TO BDSM. ,,2019-01-23 00:00:00,2019,1.0,23,,fl
50+ PRESENTS COLLEGE CUTIES. 2014. VOL. 89.,,2015-03-25 00:00:00,2015,3.0,25,,fl
50+. 2015. NO. 5.,,2017-02-22 00:00:00,2017,2.0,22,,fl
501 SPEED SKETCHES: EXPERT TECHNIQUES TO MASTER SKILLS & TIPS TO PRACTICE. ,,2018-06-06 00:00:00,2018,6.0,6,,fl
50TH LAW. ,,2021-06-17 00:00:00,2021,6.0,17,,fl
52 BOXES IN 52 WEEKS. ,,2021-04-22 00:00:00,2021,4.0,22,,fl
52 PREPPER PROJECTS: A PROJECT A WEEK TO HELP YOU PREPARE FOR THE UNPREDICTABLE. ,,2015-07-22 00:00:00,2015,7.0,22,,fl
6 PENCIL TECHNIQUES. ,,2020-01-08 00:00:00,2020,1.0,8,,fl
6244 INCREDIBLE LEGAL REMEDY TO GET ANY CASE DISMISSED IN COURT. ,,2017-05-18 00:00:00,2017,5.0,18,,fl
6247 HOW TO SIGN IN PROTEST UNDER DURESS TO DENY CONSENT. ,,2018-01-10 00:00:00,2018,1.0,10,,fl
63 DOCUMENTS THE GOVERNMENT DOESN'T WANT YOU TO READ. ,,2016-06-22 00:00:00,2016,6.0,22,,fl
64 HANDS OF BAGUA ZHANG: FIGHTING TECHNIQUES OF LIU ZEKUAN. ,,2015-08-05 00:00:00,2015,8.0,5,,fl
7 DAYS OF MAGIC. ,,2015-08-05 00:00:00,2015,8.0,5,,fl
7 STEPS TO START UP A NONPROFIT ORGANIZATION LIKE A BOSS. ,,2021-01-14 00:00:00,2021,1.0,14,,fl
7711 HOW TO STOP A FORECLOSURE WITH A SINGLE QUESTION TO YOUR BANKER. ,,2017-03-29 00:00:00,2017,3.0,29,,fl
"7725 EARN $10,00+ PER MONTH FROM THE MORTGAGE MELTDOWN. 2015. VOL. 04.",,2016-01-27 00:00:00,2016,1.0,27,,fl
7741 HOW TO SURVIVE MARTIAL LAW.,,2018-08-09 00:00:00,2018,8.0,9,,fl
7752: THE RESPONSIBLE DRIVER'S GUIDE TO SELF INSURANCE. ,,2018-02-13 00:00:00,2018,2.0,13,,fl
8 BALL CHICKS: A YEAR IN THE VIOLENT WORLD OF GIRL GANGS ,,2012-12-14 00:00:00,2012,12.0,14,,fl
8 WEEKS TO SEALFIT: A NAVY SEAL'S GUIDE TO UNCONVENTIONAL TRAINING FOR PHYSICAL AND MENTAL TOUGHNESS. ,,2021-07-29 00:00:00,2021,7.0,29,,fl
8226 HOW TO RESCIND OR REVOKE UNJUST ADHESION CONTRACTS. ,,2017-03-29 00:00:00,2017,3.0,29,,fl
9147 100 UNIQUE & EASY WAYS TO MAKE A FAST $1000. 2015. VOL. 04.,,2016-01-28 00:00:00,2016,1.0,28,,fl
9502 WHAT YOUR SOCIAL SECURITY NUMBER TELLS ABOUT YOU. 2015. VOL. 04.,,2016-01-27 00:00:00,2016,1.0,27,,fl
9504 SIMPLE WAYS OF RAISING THOUSANDS OF DOLLARS IN HOURS. 2015. VOL. 04.,,2016-01-27 00:00:00,2016,1.0,27,,fl
98 UNDERGROUND BUSINESSES. EDEN PRESS. © 1994.,,2014-06-25 00:00:00,2014,6.0,25,,fl
98.6 DEGREES: THE ART OF KEEPING YOUR ASS ALIVE ,,2012-12-14 00:00:00,2012,12.0,14,,fl
A,,2018-01-10 00:00:00,2018,1.0,10,,fl
A.B.O. COMIX. 2021/06. ISSUE 2.,,2021-09-09 00:00:00,2021,9.0,9,,fl
A+ CERFITICATION (ALL-IN-ONE DESK REFERENCE FOR DUMMIES. ,,2019-03-20 00:00:00,2019,3.0,20,,fl
"A+ GUIDE TO HARDWARE: MANAGING, MAINTAINING, AND TROUBLESHOOTING. ",,2015-09-23 00:00:00,2015,9.0,23,,fl
A+: COMPREHENSIVE GUIDE TO MANAGING AND MAINTAINING YOUR PC. 8TH EDITION. ,,2017-03-29 00:00:00,2017,3.0,29,,fl
ABC'S OF PROPERTY MANAGEMENT. ,,2017-06-01 00:00:00,2017,6.0,1,,fl
ABOLISH ALL PRISONS!  ,,2012-12-14 00:00:00,2012,12.0,14,,fl
ABOLISH PRISON SLAVERY. ,,2017-01-18 00:00:00,2017,1.0,18,,fl
ABOLITIONIST. 2012/SUMMER. ISSUE 17. [ENGLISH/SPANISH BOUND TOGETHER].,,2012-07-06 00:00:00,2012,7.0,6,,fl
ABOLITIONIST. 2013/SUMMER. ISSUE 20.  [ENGLISH/SPANISH BOUND TOGETHER].,,2013-08-14 00:00:00,2013,8.0,14,,fl
ABOLITIONIST. 2014/SPRING. ISSUE 22. [ENGLISH/SPANISH BOUND TOGETHER].,,2014-06-11 00:00:00,2014,6.0,11,,fl
ABOLITIONIST. 2016/SUMMER. ISSUE 26. [ENGLISH/SPANISH BOUND TOGETHER].,,2016-10-26 00:00:00,2016,10.0,26,,fl
ABOLITIONIST. 2016/WINTER. ISSUE 25. [ENGLISH/SPANISH BOUND TOGETHER].,,2016-02-24 00:00:00,2016,2.0,24,,fl
ABOLITIONIST. 2017/SPRING. ISSUE 27. [ENGLISH/SPANISH BOUND TOGETHER].,,2017-04-13 00:00:00,2017,4.0,13,,fl
ABOLITIONIST. 2018/FALL. ISSUE 30. [ENGLISH/SPANISH BOUND TOGETHER].,,2019-01-23 00:00:00,2019,1.0,23,,fl
ABOLITIONIST. 2018/SUMMER. [ENGLISH/SPANISH BOUND TOGETHER].,,2018-07-25 00:00:00,2018,7.0,25,,fl
