"","Location","State","Date","n"
"586","TELLURIDE","CO","2/14/87",1
"587","TELLURIDE","CO","2/14/89",1
"588","TELLURIDE","CO","2/2/87",1
"589","TENMILE RANGE / FLETCHER MTN","CO","12/2/90",1
"590","TETON PASS","WY","12/9/00",1
"591","TETON PASS","WY","4/24/95",1
"592","TETON PASS / AVALANCHE BOWL","WY","1/28/03",1
"593","TETON PASS / SKI LAKE","WY","1/4/03",1
"594","TETON PASS, Glory Bowl","WY","12/1/00",1
"595","TETONS DEAD HORSE PASS","WY","12/25/00",1
"596","The Canyons","UT","12/23/07",1
"597","THE CANYONS","UT","1/11/00",1
"598","Thompson Pass","AK","4/18/09",1
"599","Thompson Pass","AK","4/7/08",1
"600","Tiffany Mountain near Conconully","WA","3/19/06",1
"601","TIOGA PASS","CA","6/14/95",1
"602","TODD LAKE, near BEND","OR","2/22/93",1
"603","TOGWOTEE PASS","WY","1/4/99",1
"604","TOGWOTEE PASS","WY","12/28/92",1
"605","TOGWOTEE PASS / KETTLE CREEK","WY","1/25/03",1
"606","Togwotee Pass/Squaw Basin area","WY","12/27/05",1
"607","Tokopah Canyon, Sequoia National Park","CA","1/28/08",1
"608","Tower Mountain, southeast of Heber City","UT","2/17/07",1
"609","Town of Steamboat","CO","1/26/84",1
"610","Trapper Creek, North of Priest Lake","ID","2/27/09",1
"611","TUCKERMAN RAVINE","NH","2/19/56",1
"612","TURNAGAIN PASS","AK","1/21/78",1
"613","TURNAGAIN PASS","AK","3/21/99",1
"614","TWIN BRIDGES","CA","1/14/52",1
"615","TWIN LAKES","CA","2/10/78",2
"616","TWIN LAKES","CA","2/15/86",1
"617","TWIN LAKES","CO","1/21/62",1
"618","TWIN LAKES NR LAKE WENATCHEE","WA","1/29/01",1
"619","TWOTOP MOUNTAIN","ID","2/22/93",1
"620","UINTA MTNS","UT","3/10/01",1
"621","Union Creek, near Crystal Mountain Resort","WA","12/2/07",1
"622","VAIL","CO","2/21/96",1
"623","VAIL (ob)","CO","2/26/86",1
"624","VAIL / OB MUSHROOM BOWL","CO","1/2/90",1
"625","VAIL PASS","CO","3/17/84",1
"626","VAIL PASS Narrows","CO","12/31/95",1
"627","VALDEZ","AK","2/6/77",1
"628","VICTOR / BIG HOLE MTNS","ID","3/11/02",1
"629","W YELLOWSTONE","MT","2/25/96",1
"630","W YELLOWSTONE","MT","3/9/96",1
"631","WARDNER","ID","2/5/57",1
"632","WASATCH PLATEAU MT PLEASANT CHOKE CHERRY","UT","1/8/05",1
"633","WEBER CANYON","UT","1/31/02",1
"634","WEST YELLOWSTONE / LIONSHEAD","MT","4/4/01",1
"635","WEST YELLOWSTONE / LIONSHEAD MTN","MT","1/18/90",1
"636","WHITE CLOUD MTNS STANLEY","ID","7/2/05",1
"637","WHITEFISH RANGE","MT","2/10/02",1
"638","WHITEFISH RANGE / SOUTH CANYON","MT","3/16/02",1
"639","WHITEHORSE MTN","WA","5/12/85",1
"640","WILLOW CREEK","ID","1/20/71",1
"641","WOLF CREEK PASS","CO","1/30/83",1
"642","WOLF CREEK PASS","CO","12/30/51",1
"643","WOLF CREEK PASS","CO","3/3/81",1
"644","WOLF CREEK PASS / TREASURE MTN","CO","3/3/87",1
"645","WOLVERINE CIRQ","UT","4/8/93",1
"646","WRANGELL-ST ELIAS","AK","4/29/99",1
"647","WRANGELL-ST ELIAS / VERDE PEAK","AK","4/9/03",1
"648","Yamaha Hill, western Uintas","UT","12/29/08",1
"649","Yellow Mountain","MT","3/3/07",1
"650","YELLOWSTONE","WY","2/23/92",1
"651","YELLOWSTONE","WY","3/3/97",1
"652","YOSEMITE","CA","9/26/72",1
